Turkish,English
çılgınlar,crazy
zambak,lily
gibiyse,If it seems like
denim,denim
şunların,of which are
çağrıyı,call
cocuk,child
boyamak,paint
paylaşan,sharing
okumasını,her reading
üstümüzde,on our top
sevgin,your love
lezbiyenler,lesbians
mızrağı,spout
vazgeçin,gap
içerikli,contented
kelepçeli,handcuffed
kilitledin,you have locked up
dağıtımı,distribution
içmen,drunken
konumunda,in position
yapamayacaksın,You won't be able to
holloway,holloway
çıkanlar,releases
ferdinand,ferdinand
dominique,dominique
indirir,reducer
büyükleri,sizes
cinayette,murder
düşeceğini,that you will fall
sinirlendiriyor,pisses up
hack,hacking
gd,gd
etkisinden,impact
hissediyorlar,they feel
kapatacağız,we will close it
düzenlediği,edged
önemsemiyorum,I don't care about
seslen,shank
pot,pot
yolunuza,to your way
patronlar,bosses
ge,gi
teknolojileri,technologies
tutmalıyım,I should keep it
wexler,wexler
bahisleri,betting
boyutlarda,in size
stevenson,stevenson
yavan,uninspired
açarken,While opening
semptomları,symptoms
evlenmeyeceğim,I will not marry
iğrençsin,you are disgusting
çözümün,your solution
duyuyorsan,If you hear
neredeysen,wherever you are
etmiştiniz,you have made it
söylenenleri,the ones they say
madalyayı,medal
sirki,circus
kötüyü,evil
çukuruna,pit
dövüşürken,while fighting
cade,cade
belirteyim,let me specify
yama,patch
woong,woong
hatamı,fault
salağa,stupid
entrika,intrigue
hızlanıyor,is accelerating
çekmiştim,I had attracted
meyveler,fruits
basıyorum,I'm pressing
yarışalım,Let's race
kaşmir,cashmere
atlarım,my jumps
gençliğin,your youth
atwood,atwood
kanalını,channel
bun,bun
iyiydik,we were good
seçmişsin,you have chosen
je,je
kumandanı,controller
aradıklarını,that they are looking for
şanslıydık,we were lucky
dokunmasına,touch
çağrıştırıyor,evokes
berabersin,you are berabers
endişelenmiş,worried
kızıyor,is angry
uzaklaşıp,walk away
göstermekten,from showing
olabiliyorlar,they are able to be
batının,west
batigol-7,batigol-7
bulundurma,possession
yakınlar,they are relatively
görmezsin,you don't see it
alenen,publicly
sattığın,that you are selling
satmıyorum,I do not sell
kazanmamız,we win
organlar,organs
birdaha,again
çalmışlar,they have stolen
önündeyim,in front of me
diploması,diplomacy
olympia,olympia
gözükür,seem
canlandırma,animation
uydusu,satellite
içersen,If you drink
takipçi,follower
İşgal,Occupation
beklentileri,expectations
selen,selen
düşünmediğim,I don't think about
yapamadık,we couldn't do it
davasından,from the case of
ünlüdür,is famous
batırmak,immerse
çıkmanızı,your exit
soktuğumun,that you have stuck
hanımefendiye,lady
adresine,to the address
seçimlere,to the elections
katilim,participation
kırıldığını,fracture
söyleyemezdim,I couldn't say that
could,Could
sonik,sonic
artagnan,artagnan
sistemindeki,in the system
konserde,concert
talia,talia
kalanıyla,with the rest of
kamuya,public
bombasını,bomb
çavdar,rye
davranmaktan,treating
diplomat,diplomat
projem,my project
yıkamaya,wash
prim,premium
kâfi,sufficient
yeteneklerim,my abilities
beklenir,expected
biraları,the beers
hazırlarken,while preparing
şaşırtmak,surprise
değiştirmişsin,You have replaced
hakediyorsun,You deserve that
temizleyici,cleaner
sallayın,shake
zevkten,pleasure
myrtle,myrtle
oynamasını,to play
girdap,whirlpool
dalında,on the branch of
çemberin,circle
mahallinden,from the neighborhood
koyuldu,laid
yıkayacağım,I will wash it
edebiliyorsun,you can be able to
çıkacağı,exit
amaçlar,purposes
kulübünü,club
yolculuğunuz,your journey
kaybedersiniz,you lose
düşmanların,your enemies
kundaklama,arson
çöpte,litter
götlü,villainous
bahçesinden,from the yard
tıkır,clogged
kuruyorlar,They are installing
çiçeklere,to the flowers
götürmeme,untrue
canından,dearly
ilanları,ads
amt,amt
şartı,stewardship
elektroşok,electroshock
koşmayı,running
düzenlemeler,regulations
kullandığımı,I use it
dostlarının,of their friends.
tanım,definition
şapkalar,hats
dayanabilirim,I can withstand
sağlıyordu,has been providing
bulundurmaktan,from possession
ferris,ferris
inanacağımı,that I will believe
maçtı,was the match
gömülmek,sink
kustum,I was angry
süreyle,daily
fırlatmaya,tossing
yoğunum,I am busy
saçmalamayın,Do not scatter
manu,manu
kaçsın,rather
karşılaşmamız,we encounter
tanecik,particle
istemişsiniz,you have requested
bayrağını,flank
oğullarının,of their son.
geçirebilirim,I can spend
anlaşılmıyor,not understood
toro,toro-
kralları,kings
yamada,patchy
anahtarımı,my key
operasyonda,in operation
halimden,atmosphere
bihaber,breeders
dilinin,tongue
edilemeyen,unspeakable
geçmezdi,would not pass
kalacağı,to remain
provası,reel
İsteyen,Wishing
nezaketini,courtesy of
çüş,Whoa
müşterilerini,their customers
öğreniyoruz,we are learning
döneceğine,to return to
alışsan,inhabitant
gürültücü,noisy
shake,shake
açmamız,us to turn on
seferin,siphon
çöküş,collapse
hakladım,I deserved
terlik,slipper
şişesini,bottle
tahiti,Tahiti
kaktüs,Cactus
iletmemi,transmitting
indirimli,discounted
castor,castor
gösterime,to the display
juarez,juarez
kasabasında,in town
buluşmasını,reckoning
yüzükleri,rings
dokunmuş,woven
mühendisliği,engineering
dolarımı,my dollar
kapayıncaya,in the blink
sizinkini,yours
temizliğe,cleanliness
güvendi,he was confident
kanayan,bleeding
adaylığını,nomination
gazetedeki,newspaper
harikası,wonderful
hatırlardım,I would remember
çarptığında,when they hit
tabuta,coffin
başarıyı,success
bacaklarına,to their legs
paydos,Paydos
munch,munch
dişim,my tooth
bayramında,feast
kocasından,husband
öğrencisiyim,I'm a student
kurtulabilir,reconcilable
seçmem,I don't choose
darhk,darhk
kapanık,close-up
denediler,they tried
çözülür,dissolve
sahilinde,on the beach
ormanlar,forests
terapiste,therapist
lisansını,license
akü,battery
uzaktalar,they are away from
yaptıklarında,when they do
davranışın,of behavior
shik,shit
sorularına,to their questions
harcadığın,that you spend
taşınacağım,I will be carried
mega,mega-
vücutta,in the body
İçinizde,Within
castillo,castillo
görünüşüne,to his appearance
arızası,fault
zenginlerin,your rich
horton,horton
kapanma,closing
açıklanamayan,unexplained
sistemlerine,to their system
kullanmalıyım,I should use it
sevindi,delighted
girmelisin,you should enter
işyeri,workplace
dişlerinin,of their teeth.
dinar,dinar
hatırlayan,recalling
yeğenimin,my niece
unutmaz,won't forget
kuçu,cuisine
çıkıyormuş,is going out
seversiniz,you like it
yaşlanıyorum,I'm getting old
ödediğim,I paid
ophelia,ophelia
döneminden,from the period
yüzümün,your face
girmesin,you don't get in
carpenter,carpenter
ayrıntıyı,detail
felçli,paralytic
uğraştığımızı,that we are dealing with
meyers,meyers
ikiden,by two
boğazımı,my throat
tabiat,nature
klip,clip
uma,uma
görüneceksin,you will appear
fat,farm
merakla,curiously
chamberlain,chamberlain
scanlon,scanlon
mİ,Is it
uzatabilir,can extend
oyumu,my vote
bilgilendirmek,inform
öldürmelisin,You have to kill
varlıkları,assets
akvaryum,aquarium
alındığı,taken
geçirmişsin,you have spent
güçlüyüz,We are strong
beğenmedi,disliked
memura,officer
kaçırdığımız,we are missing
öğretmenimiz,our teacher
asır,century
karışmam,I'm not involved
tıpa,plug
düşürüp,decreasing
ülkelere,to countries
uzaklık,distance
hallediyoruz,We are taking care of
taşralı,provincial
ciro,endorsement
çekmedim,I'm not attracted to
alnında,in the forehead
barlarda,in bars
çalacaksın,you will steal
kavgacı,quarrelsome
titanyum,titanium
kaldırdın,you have removed
çalmam,I don't steal
denemen,trailing
kalıntılarını,the remains of
uzgunum,I am sad
kütlesi,mass
fildişi,ivory
büyüğünü,granny
düşersen,If you fall in
seviş,make love
yüzle,face
tesadüfe,coincidental
yemeklerden,from the meals
götünden,fascinating
dönüşen,transformed
salın,sway
nebze,bit
vader,vades
metres,mistress
onlarsız,without them
halil,halic
sahiplerine,to their owners
oak,oak
davrandınız,you behaved
etleri,meats
hücrelerini,their cells
otururum,I sit down
içince,force
koymamı,to put my
nasip,grant
espriyi,joy
shorty,Shorty
yolculuğumuz,our journey
kovdun,you've fired
kandırmış,tricky
günahtır,is the sin
serserileri,punk
yalanların,your lies
hayra,Hayra
duygulandım,I got emotional
evlerden,houses
çorapları,socks
öfkenin,of anger
sarısı,yolk
kaçırdığımı,that I have missed
hanesi,household
casuslar,spies
babalarını,their father
yapanları,the ones who do the
uçağımız,our plane
paragraf,paragraph
chucky,chucky
yazdığımı,I have written
kahramanların,your heroes
ışıkların,of the lights
geçirirse,If it passes
bekçe,waver
güvenmeyi,relying
jolly,jolly
yaşamında,in life
yurtta,dormitory
göndermeliyiz,We have to submit
sağanak,downpour
yazıcı,printer
yiyeyim,let me eat
kadarlık,up
bebeğimizi,our baby
ödüller,awards
göğüslerimi,my breasts
lösemi,leukemia
şüphelenmeye,suspicious
vücudumda,on my body
arkadaşımızın,Our friend is
dayanışma,solidarity
anlaşıyoruz,we are getting along
daymış,rampant
defterimi,my notebook
çabaları,their efforts
kenarları,edges
yakalarlarsa,If they catch
sandal,sandal
tarihler,dates
korkarlar,they are afraid
asistanın,assistant
kaybedebilir,may lose
çiçeğin,your flower
atomik,atomic
sylar,sylar
plağı,plaque
gönüllüler,volunteers
annemizin,of our mother's
soruyla,with the question
gelişmelerden,from developments
beceremem,my fucker
taklitçi,copycat
meşale,torch
kaçmalarına,to their escape
isyancı,rebel
tac,crown
feribot,ferry
zamanımızın,of our time
almayacağız,We will not receive
kullanmamı,not to use
sicili,sacrifice
soğutucu,cooler
sadakati,loyalty
notlarımı,my notes
gyu,gyu
kontroller,checks
örgütün,the organization
cezai,criminal
yaptıracak,will make
cihazlar,devices
kurtulman,cumulative
ajansın,of the agency.
lafayette,lafayette
saçmalıklarla,nonsense
portatif,portable
işledin,you have committed
gecemi,is it night
atılması,disposal
bencilsin,selfish
değişme,changing
kapanmadan,without closing
kaldırmayı,remove
verebilirler,they can give
girmişsin,You have entered
tatlıymış,dessert
bura,Bura
milis,militia
seçimlerde,in choices
halletmiş,dishonorable
allahtan,allah
sevdiğimizi,that we love
çantalarını,their bags
masaları,tables
azaltır,reduces
eğitici,trainer
pırlanta,diamond
müdahele,intervention
güvendeyim,I'm safe
etraflıca,surrounding
tuttunuz,you have kept
çözülmesi,dissolve
vazgeçmedim,I did not give up
taşıyıp,carrying
yetişkinim,my adults
mahi,mahi
protez,prosthesis
hapishaneyi,prison
kapoor,kapoor
ülkene,to the country
gelmezdim,I wouldn't arrive
olmuşsa,If it has been
stones,stones
boca,boca
dostumdur,It is my friend
yerleştirme,placement
çizelgesi,chart
uğruyor,he is phase
steiner,steiner
çekildiği,withdrawn
raporlara,to reports
anladığımız,we understand
amcana,uncle
filmlere,to the movies
rolüm,my role
öpebilir,can kiss
müdürüne,to the principal
fiziği,Physics
alıcılar,buyers
ışıklı,illuminated
donaghy,donaghy
hangileri,which ones
arıyordunuz,You were looking for
fotoğrafım,my photo
vazgeçer,gives up
davalının,defendant
kaçmıyorum,I'm not running away
geum,geum
çizdiği,scratched
yokmuşum,I have not been
koleksiyonunu,the collection of
ilçe,district
timsahlar,alligators
kurarak,by drying
ahjussi,ahjussi
gerçekleşmedi,did not take place
suçlarından,of offense
sormalıyız,We have to ask
muad,muad
yatırdı,deposited
yaptıklarımızı,ours
paxton,paxton
sübyancı,pedophile
calder,calder
kombinasyon,combination
deliğinin,hole
1ahff,1ahff
ros,ros
dövüşüyor,it is fighting
kağıttan,paper
yalvar,gravity
peralta,peralta
tuvaletler,restrooms
katılmamı,disagreement
savaşır,battle
çalışanlarının,of their employees.
lıyım,I'm LI
aura,aura
kalabalıkta,in the crowd
edebildim,I could be able to
ikiside,both
sarayında,in the palace
costello,costello
mahkûmlar,prisoners
beowulf,beowulf
sahnesini,scene
savcıya,prosecutor
vermeliydin,you should have given it
beynindeki,brain
oğullarını,her sons
yemişti,were eaten
köpeklerini,their dogs
sensörleri,Sensors
şarapla,with wine
paylaşalım,lets share it
bastırın,press
fscx140,FSCX140
ışınlama,irradiation
katıldığını,attended
lyndsey,lyndsey
uydular,satellite
kocakarı,hag
denesen,trendy
kulağının,your ear
ödeyecekler,they will pay
koruyamam,I cannot protect
talimi,demand
çekecektir,will attract
zirvede,peak
kanalında,in the channel of
simülasyon,simulation
sorumsuzca,irresponsibly
bulamamışlar,They have not found it
seslendi,voiced
ödeyeyim,I will pay
katıksız,pure
allaha,allah
tamammı,Okay
anlamadığını,that you don't understand
bilme,knowledge
talebini,demand
misafirleri,guests
tatillerde,on holidays
bağışlamak,forgive
kullanmana,you to use
İlkel,Primitive
indirelim,lets download
mutlular,they are happy
mağarası,cave
patika,path
sensörler,sensors
saldırmayı,attack
başlangıçtı,was the beginning
kısık,raucous
yeryüzünden,from the earth
binme,riding
vov,vov
gazeteciyim,I'm a journalist
saygılarını,respect
mets,mets
durursun,you stop
kadarına,up to
kapiyi,the door
açmalıyız,We have to turn on
köşesindeki,corner
cesetlerini,their bodies
gidişatı,the course of
ever,Ever
mendez,mendez
süremiz,our period
kadınlarda,in women
nedenimiz,our reason
temyize,appellant
odamızda,in our room
telaşlı,fussy
tava,pan
damga,stamp
olmamalıyız,We should not be
tanışıyorsunuz,you are meeting
alnına,to the forehead
bekaretini,your virginity
mazeretin,excuse
tablonun,of the table
alyssa,alyssa
avukatsın,you are a lawyer
donunu,frost
bulandı,It's been found
kamyonunu,her truck
operaya,opera
kaçacağım,I will run away
celine,celine
balonun,bubble
hoşlanmayacak,will not like
İnternete,To the Internet
haftan,week
bitirmedik,We didn't finish
isteyeceklerdir,they will want to
lübnan,Lebanon
içerisine,in
yumru,tuber
gelsenize,back
aza,member
çalıyoruz,we stole
yılıydı,was the year's
edeceğiniz,you'll be on
murph,murph
fsp-2,FSP-2
vermeyecektir,will not give
araçların,of vehicles.
atacağını,whence
tepetaklak,upside down
tazı,greyhound
buluşacağını,will meet
mahvolur,rueful
soho,soho
macerası,adventure
çocuğumuzu,our children
ananın,your mothers
bilgilerle,with information
yanmaya,burning
aylaklık,idleness
rüzgarlar,winds
çözülecek,will be solved
İyileşme,Improvement
açıkken,While it's on
dayanıklılık,durability
kalkalım,Let's get up
donnelly,donnelly
günışığı,daylight
ayaklarıma,my feet
purcell,purcell
dance,dance
filtre,filter
bebegim,my baby
getirmeden,without brings
yumruğunu,fist
karşılaşmayı,encounter
amerikalılara,to Americans
araştıracağız,We will investigate
sinirden,nerve
portre,portrait
gitmeliydim,I should have gone
hatırlıyorsunuz,you remember
bulacağına,that you will find
öldürüyordun,You were killing
haberlerimiz,our news
yahni,stew
vazgeçmem,I dont give up
hizmetine,to the service of
amerikalıyım,I am american
anlayalım,Let's understand
gösterisinde,in the show
alexx,alexx
oynanan,played
fidel,fidel
güçlendirmek,strengthen
dudaklarımı,my lips
şiddetten,violent
çerçeve,frame
sıkılıyor,bored
sorundan,trouble
buluşur,it meets
bulunursa,If found
adaletsiz,unjust
helikopterler,helicopters
söylememek,not to say
gala,premiere
derinliği,depth
kendimce,by myself
tamı,fully
açıklıyorum,I explain
dönemez,irregular
çekmece,drawer
buzdolabını,refrigerator
ölebilirdi,could die
büyüyorlar,they are growing
huzuruna,to the peace of
adımımı,my step
quahog,quahog
vurmuştu,he had hit
takvimi,calendar
değişmesini,varying
mahsus,sacrifice
gelmeliyim,I have to come
anlayabilecek,able to understand
uyuyabilirim,I can sleep
ahit,testament
cezbedici,attractive
emmek,to suck
mathias,mathias
seyrederken,while watching
kapsama,coverage
salih,salih
yüreğin,your heart
besleyici,feeder
basınla,press
alabilirmiyim,Can I get
savaşçının,warrior
girmiyorsun,you are not entering
sorumlulukları,responsibilities
kedilerin,of cats.
mümkünatı,feasible
kaçışı,escape
gidiyordur,is going to
melbourne,melbourne
ipini,rope
gangsterler,gangsters
franks,Franks
almıyorsunuz,you are not receiving
gösterirler,they show
sürüşü,driving
ziyanı,tough
içiyorlar,they drink
yaşayarak,by living
kibarsınız,you are polite
güldüm,I laughed
asalak,parasitic
fielding,fielding
patronumuz,our boss
kardasya,cardiac
endişeleri,their concerns
durayım,let me stand
borca,debt
sorsan,asking
sesimizi,our voice
alexa,alexa
tanımlanamayan,unidentified
teorileri,theories
söyleyemiyorsun,you cannot say
kurtarmıştı,had saved
evliliğimizin,of our marriage
kazanana,to the winner
tepelerde,in the hills
enine,transverse
harcamayın,Do not spend
delireceğim,I'm going to go crazy
vursana,hesney
sorguluyorsun,you're inquiry
çömlek,pot
merhametsiz,ruthless
çekmemi,tackle
raporumu,reporter
branson,branson
rhys,rhys
heykelin,sculpture
winslow,Winslow
törende,at the ceremony
sözünüzü,your word
ates,fire
görünümü,view
bozabilir,impaired
getirdikleri,the ones they bring
nijerya,Nigeria
yapamadığını,that you cannot
söylemekte,saying
paylaşır,shares
sora,sory
İnkâr,Denial
gras,gras
seyrediyorum,I am watching
takası,swap
güvenerek,relying
başladığımdan,As I started
zihninin,of the mind of
bırakacaksınız,You will leave
arsa,plot
tutarsız,inconsistent
karargahı,gap
bırakmışım,I have left
muhbiri,informant
sevgilerimi,my love
düşüşü,decline
talepte,demand
bulabileceğin,that you can find
çamaşırlarımı,my laundry
başındayken,while at the beginning of
saçık,fantastic
again,again
kimble,kimble
korkuyorsan,If you are afraid of
kokmuş,rancid
saldırıyla,with an attack
vampirin,vampire
belayı,trouble
iyileştirecek,will improve
planlamak,plan
gerekenin,requirement
hazırlıyoruz,We are preparing
mesafesi,distance
ralphie,ralphie
hatırladığını,that you remember
halletmen,stewardship
toparlamak,recover
doğrular,verifies
davy,davy
kurtulduğunu,ridiculous
şarlatan,charlatan
sırasına,in order
uyarsa,If
kamerada,on camera
alphah00,alphah00
masam,my table
antony,antony
box,box
bizimkisi,ours
paraların,coins
tepesinden,from the top
kademe,level
pink,pink
kurdunuz,You have established
silmeye,to delete
çalışacaktır,will work
klüp,club
birimize,to our one
kaybedebilirsin,you can lose
jocelyn,jocelyn
lafa,lafe
çalışınca,when he worked
dakikasını,minute
baird,baird
lay,Lay
merdivenin,the staircase
yazılır,written
ağırlamak,hog
gülleri,roses
görerek,see
sağduyu,common sense
evvet,evalu
döveceğim,I'm tattooed
kökten,radical
palyaçolar,clowns
süreyim,let me drive
yazdık,we have written
görüşüyorsun,you are in calling
dedikodulara,gossip
karmaşıktır,is complicated
açıklamasını,stiffening
kıçlı,stiff
kalemim,my pen
konuşuyormuş,he is talking
sıkıştır,jammed
ahsoka,Ahsoka
seninkiyle,with yours
yatarsın,you to sleep
başlarsak,If we start
duyduklarını,that they have heard
üzülür,upset
hastalığından,out of sickness
davranmanı,supreme
görünmen,vision
nötron,neutron
kilisedeki,in the church
ettiğime,on
İbranice,Hebrew
bağırsakları,guts
hikayesinin,of the story of the
nucky,nucky
kaybetmedin,you haven't lost
sütten,weaning
shue,shue
moralin,moral
parish,parish
cezan,punishment
sayılmayız,We do not count
balkonda,on the balcony
çalıştıktan,from working
hâlim,unmerciful
knope,knope
çalmaz,steamy
uykumda,in my sleepy
düşünceyi,thoughtfulness
koordinatlarını,their coordinates
başlamışken,While starting
karşındaki,stable
tucson,tucson
girdiğinden,as they entered
kullanmıştı,had used it
kapılardan,through doors
worth,Worth
üzerindeyiz,We are on the
göndermesini,send
vezir,queen
curly,curly
seçtiğiniz,that you choose
etseydin,If you were fueled
fotoğraflarına,to their photographs
hawthorne,hawthorne
kıldı,has made it
etkilemesine,impact
stadyumu,stadium
görevdeyken,While on duty
kameralara,to the cameras
edebileceğinizi,that you can be able to
çevreci,environmentalist
inceleyin,Review
yanıcı,flammable
satarız,we sell
geçirmedim,I didn't spend it
dedenin,dedicated
gülerek,laughing
nafile,futile
savcılığın,prosecution
uyuştu,mounds
müteahhit,contractor
işlemiyor,is not processing
dövmüş,puffy
bacım,my sister
basina,per
gırtlağını,ferry
öldürüldüler,They were killed
söylemiyoruz,We do not tell
kaçmasını,foul
sabunu,soap
carr,Carr
yönettiği,ruled
omuzlarında,on their shoulders
bolivya,Bolivia
tenisi,tennis
vurulmuştu,had been shot
boyundan,tall
kopacak,snap
parıltı,glare
zürafa,giraffe
porsuk,badger
penisim,penis
eyaletteki,in the state
moreno,moreno
askeriye,the military
olu,dead
clarkson,clarkson
teoriyi,the theory
rakibinin,of the opponent
demo,demo
sanığı,defendant
korosu,chorus
yerlisi,native
incitmeyeceğim,I won't hurt
lowe,Lowe
güldüğünü,that you laugh
kurulunun,the board of
denizdeki,in the sea
patlamayla,with an explosion
kaçabiliriz,we can escape
custer,custer
miktarlarda,quantities
savaşıp,battle
söylememin,utterly
hoşgörü,tolerance
barones,baroness
raph,rap
şifreleri,Passwords
indiğinde,when it landed
kaçayım,I can get away from
izinleri,permits
reality,reality
açtınız,you have turned on
yazmalısın,You should write
söylenmesi,told
açıklayamıyorum,I can't explain it
direğe,pole
sayfalık,sheet
jun-sang,jun-sang
inanmayacaksınız,You will not believe that
değişeceğini,that you will change
kurmuşlar,they have established
öpeceğim,I will kiss
kaslar,muscles
arc,arc
dolduran,filling
edilmedim,I have not been enlisted
ayakkabılarına,to their shoes
belgrad,Belgrade
eteğini,herbage
yarayacaktır,will help the
cezasız,with impunity
sıcaktır,It is hot
zehirledi,poisoned
saniyeye,to the second
profile,profile
engelle,Block
vurduktan,by hitting
yaştaki,age
iyiydiniz,you were good
arabanla,with your car
karadan,by land
last,last
sülük,leech
harflerle,letters
altuzay,altuzay
atamaz,rather
aşıyorsun,you are exceeding
yüksektir,It is high
bayılırdım,I'd love it
delphine,delphine
isteyesin,you want to
oyunlarından,from their games
clarice,clarice
oynaman,playback
durdurabilirim,I can stop it
tatiana,tatiana
dokunmadan,touching
göndermedim,I have not sent
herifsin,fucker
biz-,We-
süit,suite
yaratıcısı,creator
incindi,hurt
merkezin,of the center
rourke,rourke
istediğinize,that you want to
vardiyasında,in the shift
dolma,filling
titrek,shaky
müdürünü,director
uçuruma,cliff
beklerler,they wait
lütfu,grace
frederic,frederic
tay,colt
mecburi,compulsory
botanik,botanical
ödenmemiş,unpaid
solucanlar,worms
anneciğin,your mother's
tepkiyi,reaction
tanımlamak,to identify
ziyafeti,feast
ironi,irony
teşekürler,thanks
kurmanın,to establish a
çıktıklarında,When they come out
kurtulacağını,ridicule
adresim,my address
kaydettin,you have recorded
hastalanmış,sickly
sarkık,floppy
bulaştırdım,I have introduced
ürünlerini,their products
götveren,asshole
papazın,of the pastor
c-4,C-4
yarışını,racing
çabaladım,I have strived
pilota,pilot
only,Only
yattığımı,I'm going to bed
meslekte,in common
fotoğraflarda,In photographs
cold,cold
süvariler,cavalry
gösteririz,we show it
beale,beale
kızmadın,you're not angry
bilemezdin,you wouldn't have known
çürükler,bruises
öldürmemiz,we are to kill
çekebiliriz,We can attract
mahvetmiş,inhabitant
madalyonu,medallion
duyduktan,hearty
kurtarılmaya,recovery
yüzünüz,your face
kaçmamız,we are to escape
maskenin,mask
laila,laila
avantajları,advantages
jeju,jeju
trick,trick
hemşirenin,nurse
firmanın,firm
tomar,wad
moğol,Mongolian
hauser,hauser
kuşlara,birds
beklersen,If you wait
başlarsınız,you start
götürdüğün,you take away
cengiz,genghid
katar,train
güvensizlik,insecurity
bölümündeki,in the section
satmaktan,selling
görünüp,seize
şeytandan,from the devil
sevmiyorlar,they don't like it
etkileyeceğini,that you will affect
rast,random
kullanılması,use
maviye,blue
yumurtanın,of the egg
kalmadığı,whether
x-men,X-Men
kızdıracak,pissing
gemisiyle,vessel
izinin,trailing
kei,kei
titreme,shake
köyünde,in the village of
kamboçya,Cambodia
yaşasaydı,he was living
silmiş,wiped
doktorlardan,from doctors
göğsüme,on my chest
zekiydi,It was clever
guguk,Cuckoo
görevlisinin,the officer of
dönemine,to the period
açılardan,from angles
sağlaması,providing
frobisher,frobisher
sussun,sussy
hazırlansın,you're getting ready
işyerinde,at the workplace
sihirbazlık,magic
tahran,Teheran
kusuyor,vomiting
geni,gene
kaybolduktan,from lost
iyilerinden,from their best
ağzımın,my mouth
azim,resolution
yaptıran,beaming
bağiı,bond
adamımızın,of our man
terra,terra
montunu,cohesive
verebileceği,that she can give
belirleyici,decisive
doktorumuz,Our doctor is
madene,mine
niyetleri,their intentions
durmalı,should stop
dönebilirsiniz,You can return
numarasın,your number
adamlarız,we are men
çevirmeyi,flip
kaldırmış,raised
kıyıdan,shore
six,six
etkileşim,interaction
bilmelerini,to know their know
ayırabilir,can separate
evlendiniz,you have been married
niyetiniz,your intention
belini,weaning
yakıldı,has been burned
rené,rené
şapkan,hawk
yanlışın,it's wrong
ahlaksızlık,immorality
yetiştim,I grown up
avcının,hunter
burma,burial
kavrulmuş,roasted
gang,gang
peso,peso
yaramayan,incontinent
düzelteyim,let me fix
yağma,spoil
sevgilerini,your love
öğrettiğim,I teach
replik,quote
zavallının,out
navarro,navarro
rajiv,rajiv
albümünü,album
nedendir,is why
farklılıklar,Differences
bırakmanızı,you to leave
kalemini,pencil
onaylamak,to approve
bakmayacak,will not look at
benİ,me
garajında,in the garage
becerisi,skill
bahçeden,gardening
üssüne,to the base of
stef,stef
seçmesi,choosing
denizler,seas
tanımadı,did not recognize
evlilikte,marriage
sessizdi,It was silent
kumu,sand
pollock,pollock
leğen,Basin
yakaladığımız,we have caught
mezarından,tomb
five-o,five-o
maymuna,monkey
nikotin,nicotine
wickham,wickham
demiyorlar,they don't say
girmemize,us
haftaydı,was the week
belirledim,determined
ateşine,to the fire
endişeleniyoruz,We're worried about
içmeden,without drinking
ayrılınca,When you leave
endişelenmiyor,doesn't worry about
deliriyor,is crazy
vurabilirim,I can hit it
gerçekleştirdi,performed
şanslıydı,was lucky
mevcuttur,Available
kazanıyorlar,they win
okuyacaksın,you will read
trisha,trisha
muhtar,muhtar
kullanmıştım,I had used it
istemiyordur,does not want to
odaklanmalıyız,We should focus on
lamb,lamb
konuşabiliyorum,I can speak
dönmeli,turned
mesajlarımı,my messages
arkady,arkady
hayaletlerin,your ghosts
suçüstü,Red-handed
yapmasından,by
çıkmadığını,that you are not out
dükkânda,shopway
ölünceye,died
yazıyordum,I was writing
morluklar,bruises
kolluk,lawnity
emeği,labor
yazmasını,written
hücresel,cellular
İdeal,Ideal
sayıp,counting
getirmiyor,does not bring
çıkarmadı,did not remove
akademide,academy
davranırım,I behave
ikinizle,with both of you
kapanı,trap
alçı,plaster
pençeleri,claws
alkole,alcohol
faz,phase
gözüküyorlar,They appear to be
durdurdun,you have stopped
barbarlar,barbarians
teklifiniz,Your offer is
gönderebiliriz,We can send
ayrıntılarını,the details of
seviyorsa,If she loves
başlatıyorum,I'm Starting
mektupla,letters
bazlı,based
ocean,ocean
benzemeye,to resemble
sorunlardan,of problems
serbestsiniz,you are free
konumuzla,with your position
meselesidir,is a matter of
kilolu,fat
onaylıyorum,I approve of
kaybetmeyelim,Let's not lose
mcguire,mcguire
koruyorlar,they retain
maaşım,my salary
okusana,okusana
cinayetlerle,murders
hükümdarı,ruler
dansçılar,dancers
piliçler,chicks
şanslıymış,lucky
ceketinin,of the jacket
attığımı,that I threw
naz,affectation
gülüşün,your smile
bıraktığınız,that you have left
halinize,inquisite
direnç,resistance
kendisiydi,was itself
askerlerden,soldiers
kosta,costa
garrity,garrity
taşınan,carried
ödemeler,payments
ilerlerken,while progressing
besleyecek,will feed
harekette,in the movement
beyhude,futile
cık,exit
teröristlerle,with terrorists
belirtiyor,indicates
ayaktasın,you are up
diyenler,those who say
kaydedildi,was recorded
french,french
kutluyor,celebrating
klozet,closet
modülü,module
kalamar,squid
edilmeyecek,will not be wished
tasarımcısı,designer
karşılaşırız,we encounter
olmazsak,If we don't
kovaladı,chased
bahçenin,yard
sineması,cinema
koruyacaktır,will protect
dünyamda,In my world
bertie,bertie
İlan,Advert
restore,restore
kılları,bristles
oturmaktan,from sitting
hapisteki,prisoner
ispiyoncu,rat
halledip,halled
kaçığın,your avoidance
dinlersen,If you listen to
sirkte,circus
eşdeğer,equivalent
suv,suv
bağladın,you have tied up
söylemeyecektim,I would not be able to say
nabzını,nifty
doğuşunu,born
